Fuente,Empresa,Titulo,Url
Bumeran,CONSORCIO CONSTRUCTOR METRO 2 DE LIMA,Analista de Importaciones,https://www.bumeran.com.pe/empleos/analista-de-importaciones-consorcio-constructor-metro-2-de-lima-1118134740.html
Bumeran,MOLITALIA S.A.,Analista de Desarrollo Organizacional,https://www.bumeran.com.pe/empleos/analista-de-desarrollo-organizacional-molitalia-s.a.-1118135854.html
Bumeran,Rimac Cia de Seguros y Reaseguros S.A.,Analista Jr Monetización,https://www.bumeran.com.pe/empleos/analista-jr-monetizacion-rimac-cia-de-seguros-y-reaseguros-s.a.-1118135540.html
Bumeran,Cencosud Perú S.A,Analista de Control de Gestión,https://www.bumeran.com.pe/empleos/analista-de-control-de-gestion-cencosud-peru-s.a-1118129706.html
Indeed,Banco Falabella Perú,Analista de estrategias y planeamiento de cobranza,https://pe.indeed.com/viewjob?jk=7ec04d2ae9979d13
Indeed,Sodimac Perú,Analista Senior de Planificación Estratégica y Evaluación de Proyectos,https://pe.indeed.com/viewjob?jk=7491aa2b23422f56
Indeed,alicorp,ANALISTA DE FINANZAS,https://pe.indeed.com/viewjob?jk=373d559f889c4755
Computrabajo,Salesland Pacífico,Analista de captación,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-captacion-junior-en-la-victoria-DCCE541B71C2DDF061373E686DCF3405
Computrabajo,COOPAC Crl Francisco Bolognesi  LTDA,analista de créditos,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-creditos-y-cobranza-turno-manana-con-experiencia-en-barranco-907518A63B27CCC861373E686DCF3405
Computrabajo,INDRA,Consultor SAP MM,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-consultor-sap-mm-en-san-isidro-D5EFDB15AB1A2AEE61373E686DCF3405
Laborum,CONSORCIO CONSTRUCTOR METRO 2 DE LIMA,Analista de Tesorería-TEMPORAL,https://www.laborum.pe/job/CONSORCIO-CONSTRUCTOR-METRO-2-DE-LIMA/Analista-de-Tesoreria-TEMPORAL/697b21b05252e9747a5ebd98?q=Analista
Laborum,MITSUI AUTOMOTRIZ S.A.,Analista de Riesgos Empresariales,https://www.laborum.pe/job/MITSUI-AUTOMOTRIZ-S-A-/Analista-de-Riesgos-Empresaria/697b21b05252e9747a5ebd60?q=Analista
Laborum,MITSUI AUTOMOTRIZ S.A.,Analista de Auditoría Interna,https://www.laborum.pe/job/MITSUI-AUTOMOTRIZ-S-A-/Analista-de-Auditoria-Interna/697b21b05252e9747a5ebd44?q=Analista
Laborum,NTT DATA,Power platform · Analista de datos /power bi,https://www.laborum.pe/job/NTT-DATA/Power-platform--Analista/697b21a85252e9747a5eb4f4?q=Analista
Laborum,INDRA PERU,Analista de Compensaciones TI Senior,https://www.laborum.pe/job/INDRA-PERU/Analista-de-Compensaciones-TI-/697b219b5252e9747a5ea87c?q=Analista
Laborum,INDRA PERU,Analista PMO - Construcción,https://www.laborum.pe/job/INDRA-PERU/Analista-PMO---Construccion/697b219a5252e9747a5ea844?q=Analista
Laborum,EY (Ernst & Young),Analista de Nóminas - Outsourcing,https://www.laborum.pe/job/EY-(Ernst-%26-Young)/Analista-de-Nominas---Outsourc/6979d0235252e9747a5e20b8?q=Analista
Laborum,EY (Ernst & Young),Analista de Auditoría de Nóminas,https://www.laborum.pe/job/EY-(Ernst-%26-Young)/Analista-de-Auditoria-de-Nomin/6979d0235252e9747a5e2080?q=Analista
Laborum,La Positiva Seguros,Analista de Siniestros - Vehicular,https://www.laborum.pe/job/La-Positiva-Seguros/Analista-de-Siniestros---Vehic/6979d0185252e9747a5e15ac?q=Analista
